"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"T8","SOT23-3N","93.85mm","24.575mm","93.85mm","24.575mm","92.9mm","23.625mm","T","90.00","BC857B"
"T7","SOT95P240-3N","87.35mm","3.025mm","87.35mm","3.025mm","88.3mm","4.15mm","T","270.00","BC817"
"R46","RESC2012N","90.35mm","23.575mm","90.35mm","23.575mm","91.25mm","23.575mm","T","180.00","Res2"
"R45","RESC2012N","90.85mm","4.325mm","90.85mm","4.325mm","89.95mm","4.325mm","T","360.00","Res2"
"R44","RESC2012N","91.95mm","7.025mm","91.95mm","7.025mm","91.95mm","6.125mm","T","90.00","Res2"
"R43","RESC2012N","90.05mm","7.025mm","90.05mm","7.025mm","90.05mm","7.925mm","T","270.00","Res2"
"R42","RESC2012N","87.35mm","5.925mm","87.35mm","5.925mm","88.25mm","5.925mm","T","180.00","Res2"
"C27","CAPC2012N","90.5mm","10.5251mm","90.5mm","10.5251mm","90.5mm","9.6751mm","T","90.00","Cap"
"R41","RESC2012N","90.35mm","25.475mm","90.35mm","25.475mm","91.25mm","25.475mm","T","180.00","Res2"
"R40","RESC2012N","69.35mm","21.675mm","69.35mm","21.675mm","68.45mm","21.675mm","T","360.00","Res2"
"D13","CAPC2012N","90.35mm","27.425mm","90.35mm","27.425mm","91.2mm","27.425mm","T","180.00","LED2"
"D12","CAPC2012N","69.35mm","19.725mm","69.35mm","19.725mm","68.5mm","19.725mm","T","360.00","LED2"
"U6","SOIC127P600-14N","48.625mm","31.3mm","48.625mm","31.3mm","51.025mm","27.49mm","T","180.00","MCP6L04"
"U5","SOIC127P600-14N","90.25mm","16.0251mm","90.25mm","16.0251mm","86.44mm","13.6251mm","T","90.00","MCP6L04"
"T6","SOT95P240-3N","36.525mm","37.575mm","36.525mm","37.575mm","35.575mm","36.45mm","T","90.00","BC817"
"R27","RESC2012N","66.275mm","32.775mm","66.275mm","32.775mm","66.275mm","33.675mm","T","270.00","Res2"
"R26","RESC2012N","40.025mm","38.575mm","40.025mm","38.575mm","39.125mm","38.575mm","T","360.00","Res2"
"R25","RESC2012N","66.625mm","26.275mm","66.625mm","26.275mm","66.625mm","25.375mm","T","90.00","Res2"
"R24","RESC2012N","68.2mm","36.275mm","68.2mm","36.275mm","68.2mm","35.375mm","T","90.00","Res2"
"R20","RESC2012N","37.625mm","33.875mm","37.625mm","33.875mm","37.625mm","32.975mm","T","90.00","Res2"
"R12","RESC2012N","72.0501mm","24.775mm","72.0501mm","24.775mm","72.0501mm","25.675mm","T","270.00","Res2"
"R11","RESC2012N","69.3501mm","23.575mm","69.3501mm","23.575mm","70.2501mm","23.575mm","T","180.00","Res2"
"R10","RESC2012N","72.0501mm","30.775mm","72.0501mm","30.775mm","72.0501mm","31.675mm","T","270.00","Res2"
"R9","RESC2012N","70.1mm","32.775mm","70.1mm","32.775mm","70.1mm","33.675mm","T","270.00","Res2"
"D8","CAPC2012N","70.15mm","36.275mm","70.15mm","36.275mm","70.15mm","37.125mm","T","270.00","RB521S30T1G"
"D7","CAPC2012N","72.15mm","36.275mm","72.15mm","36.275mm","72.15mm","37.125mm","T","270.00","RB521S30T1G"
"C5","CAPC2012N","72.85mm","22.025mm","72.85mm","22.025mm","73.7mm","22.025mm","T","180.00","Cap"
"C4","CAPC2012N","69.3501mm","25.525mm","69.3501mm","25.525mm","68.5001mm","25.525mm","T","360.00","Cap"
"C3","CAPC2012N","72.8501mm","33.525mm","72.8501mm","33.525mm","72.0001mm","33.525mm","T","360.00","Cap"
"C2","CAPC2012N","69.3501mm","30.025mm","69.3501mm","30.025mm","70.2001mm","30.025mm","T","180.00","Cap"
"R8","RESC2012N","76.4001mm","18.85mm","76.4001mm","18.85mm","76.4001mm","19.75mm","T","270.00","Res2"
"R35","RESC2012N","53.325mm","35.075mm","53.325mm","35.075mm","53.325mm","35.975mm","T","270.00","Res2"
"R34","RESC2012N","47.1mm","36.875mm","47.1mm","36.875mm","48mm","36.875mm","T","180.00","Res2"
"R33","RESC2012N","61.575mm","33.375mm","61.575mm","33.375mm","62.475mm","33.375mm","T","180.00","Res2"
"R32","RESC2012N","61.575mm","31.45mm","61.575mm","31.45mm","60.675mm","31.45mm","T","360.00","Res2"
"R31","RESC2012N","61.575mm","29.55mm","61.575mm","29.55mm","62.475mm","29.55mm","T","180.00","Res2"
"R30","RESC2012N","61.575mm","27.65mm","61.575mm","27.65mm","60.675mm","27.65mm","T","360.00","Res2"
"R29","RESC2012N","53.325mm","27.525mm","53.325mm","27.525mm","53.325mm","26.6249mm","T","90.00","Res2"
"R28","RESC2012N","46.625mm","25.7mm","46.625mm","25.7mm","47.525mm","25.7mm","T","180.00","Res2"
"C11","CAPC2012N","70.9001mm","27.525mm","70.9001mm","27.525mm","70.0501mm","27.525mm","T","360.00","Cap"
"C1","CAPC2012N","74.0502mm","15.9mm","74.0502mm","15.9mm","74.9002mm","15.9mm","T","180.00","Cap"
"R1","RESC2012N","67.85mm","12.05mm","67.85mm","12.05mm","66.95mm","12.05mm","T","360.00","Res2"
"R2","RESC2012N","72.0751mm","4.55mm","72.0751mm","4.55mm","72.9751mm","4.55mm","T","180.00","Res2"
"R6","RESC2012N","74.0502mm","13.95mm","74.0502mm","13.95mm","74.9502mm","13.95mm","T","180.00","Res2"
"R7","RESC2012N","79.1001mm","13.95mm","79.1001mm","13.95mm","80.0001mm","13.95mm","T","180.00","Res2"
"U1","D016_N","76.8502mm","9.25mm","76.8502mm","9.25mm","81.2952mm","11.6501mm","T","270.00","TL494CD"
"U2","SOIC127P600-14N","76.7501mm","27.675mm","76.7501mm","27.675mm","74.3501mm","31.485mm","T","360.00","MCP6L04"
"C6","CAPC2012N","83.4001mm","26.025mm","83.4001mm","26.025mm","83.4001mm","25.175mm","T","90.00","Cap"
"C7","CAPC2012N","82.25mm","30.35mm","82.25mm","30.35mm","81.4mm","30.35mm","T","360.00","Cap"
"C10","CAPC2012N","64.975mm","17.55mm","64.975mm","17.55mm","64.975mm","18.4mm","T","270.00","Cap"
"C12","CAPC2012N","64.325mm","32.575mm","64.325mm","32.575mm","64.325mm","33.425mm","T","270.00","Cap"
"C13","Elektrolit_SMD_10","42.525mm","13.975mm","42.525mm","13.975mm","42.525mm","17.975mm","T","90.00","UCD1E681MNL1GS"
"C14","CAPC2012N","52.4mm","14.225mm","52.4mm","14.225mm","52.4mm","15.075mm","T","270.00","Cap"
"C15","CAPC2012N","79.0752mm","4.5mm","79.0752mm","4.5mm","79.9252mm","4.5mm","T","180.00","Cap"
"C16","CAPC2012N","64.975mm","21.05mm","64.975mm","21.05mm","64.975mm","20.2mm","T","90.00","Cap"
"C17","CAPC2012N","62.875mm","13.5mm","62.875mm","13.5mm","63.725mm","13.5mm","T","180.00","Cap"
"D5","CAPC2012N","82.25mm","32.6mm","82.25mm","32.6mm","81.4mm","32.6mm","T","360.00","RB521S30T1G"
"D6","CAPC2012N","82.25mm","23.275mm","82.25mm","23.275mm","81.4mm","23.275mm","T","360.00","RB521S30T1G"
"PR1","POT_SMD_3x3.5","57.3999mm","25.2996mm","57.425mm","25.2996mm","59.0249mm","24.2996mm","T","90.00","100k"
"PR2","POT_SMD_3x3.5","57.4mm","28.775mm","57.425mm","28.775mm","59.025mm","27.775mm","T","90.00","100k"
"R14","RESC2012N","85.35mm","29.525mm","85.35mm","29.525mm","85.35mm","30.425mm","T","270.00","Res2"
"R15","RESC2012N","85.3501mm","26.025mm","85.3501mm","26.025mm","85.3501mm","26.925mm","T","270.00","Res2"
"R16","RESC2012N","81.4501mm","26.025mm","81.4501mm","26.025mm","81.4501mm","25.125mm","T","90.00","Res2"
"R17","RESC2012N","82.25mm","34.55mm","82.25mm","34.55mm","81.35mm","34.55mm","T","360.00","Res2"
"R18","RESC2012N","67.85mm","1.475mm","67.85mm","1.475mm","68.75mm","1.475mm","T","180.00","Res2"
