Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

T6         SOT95P240-3N           7.65mm       22.75mm        7.65mm       22.75mm       6.525mm        23.7mm  T        360.00 BC817          
R27        RESC2012N               3.3mm       18.85mm         3.3mm       18.85mm         3.3mm       19.75mm  T        270.00 Res2           
PR4        POT_SMD_3x3.5         9.525mm         9.2mm        9.55mm         9.2mm       11.15mm         8.2mm  T         90.00 500R           
PR3        POT_SMD_3x3.5         9.525mm       5.725mm        9.55mm       5.725mm       11.15mm       4.725mm  T         90.00 500R           
D11        CAPC2012N            11.425mm        26.4mm      11.425mm        26.4mm      12.275mm        26.4mm  T        180.00 RB521S30T1G    
D10        CAPC2012N            27.225mm        12.9mm      27.225mm        12.9mm     26.3751mm        12.9mm  T          0.00 RB521S30T1G    
U5         SOT-23-CT5_N         20.575mm        13.7mm      20.575mm        13.7mm      21.775mm       12.75mm  T        180.00 MCP6L01T       
WK1        otwor_montazowy_3mm       39.55mm        23.5mm       39.55mm        23.5mm       39.55mm        23.5mm  T          0.00 M3             
R26        RESC2012N             5.225mm       18.85mm       5.225mm       18.85mm       5.225mm       17.95mm  T         90.00 Res2           
D9         SMB-DO214AA          80.325mm      18.575mm      80.325mm      18.575mm      80.325mm      20.785mm  T         90.00 P6SMBJ13A 16V  
R25        RESC2012N           10.6251mm       16.85mm     10.6251mm       16.85mm     10.6251mm       15.95mm  T         90.00 Res2           
R24        RESC2012N             7.925mm       20.05mm       7.925mm       20.05mm       7.025mm       20.05mm  T        360.00 Res2           
R23        RESC2012N            33.775mm          16mm      33.775mm          16mm      33.775mm        15.1mm  T         90.00 Res2           
C20        CAPC2012N            62.725mm      7.1001mm      62.725mm      7.1001mm      62.725mm      7.9501mm  T        270.00 Cap            
C19        CAPC2012N              67.4mm         3.4mm        67.4mm         3.4mm        67.4mm        4.25mm  T        270.00 Cap            
C18        CAPC2012N           28.9751mm      26.225mm     28.9751mm      26.225mm     28.9751mm      25.375mm  T         90.00 Cap            
U4         TO-252AA_N          34.5999mm      7.0499mm     34.5999mm      5.9249mm       36.88mm     10.2749mm  T        270.00 MC7805BDTG     
T5         TO-252AA_N           74.675mm      22.575mm      74.675mm       21.45mm      76.955mm        25.8mm  T        270.00 IRLR024N       
R22        RESC2012N           41.9999mm        1.35mm     41.9999mm        1.35mm     42.8999mm        1.35mm  T        180.00 Res2           
R21        RESC2012N           41.9999mm        3.25mm     41.9999mm        3.25mm     42.8999mm        3.25mm  T        180.00 Res2           
R20        RESC2012N              4.75mm       22.75mm        4.75mm       22.75mm        4.75mm       21.85mm  T         90.00 Res2           
R19        RESC2012N           62.7247mm        12.2mm     62.7247mm        12.2mm     62.7247mm        11.3mm  T         90.00 Res2           
R18        RESC2012N              33.8mm      27.025mm        33.8mm      27.025mm        32.9mm      27.025mm  T        360.00 Res2           
R17        RESC2012N           26.2251mm     25.0251mm     26.2251mm     25.0251mm     25.3251mm     25.0251mm  T        360.00 Res2           
R16        RESC2012N           25.4251mm     18.5001mm     25.4251mm     18.5001mm     25.4251mm        17.6mm  T         90.00 Res2           
R15        RESC2012N           29.3251mm     18.5001mm     29.3251mm     18.5001mm     29.3251mm     19.4001mm  T        270.00 Res2           
R14        RESC2012N           25.4251mm      22.325mm     25.4251mm      22.325mm     25.4251mm      23.225mm  T        270.00 Res2           
R13        RESC2012N           10.6251mm     23.6501mm     10.6251mm     23.6501mm     10.6251mm     24.5501mm  T        270.00 Res2           
R12        RESC2012N           16.0251mm     17.2501mm     16.0251mm     17.2501mm     16.0251mm     18.1501mm  T        270.00 Res2           
R11        RESC2012N           13.3251mm       16.05mm     13.3251mm       16.05mm     14.2251mm       16.05mm  T        180.00 Res2           
R10        RESC2012N           16.0251mm     23.2501mm     16.0251mm     23.2501mm     16.0251mm     24.1501mm  T        270.00 Res2           
R9         RESC2012N           13.3251mm     24.4501mm     13.3251mm     24.4501mm     12.4251mm     24.4501mm  T          0.00 Res2           
PR2        POT_SMD_3x3.5         9.525mm        12.7mm        9.55mm        12.7mm       11.15mm        11.7mm  T         90.00 500R           
PR1        POT_SMD_3x3.5        10.325mm      2.1997mm       10.35mm      2.1997mm       11.95mm      1.1997mm  T         90.00 500R           
D8         CAPC2012N            7.9251mm        18.1mm      7.9251mm        18.1mm      8.7751mm        18.1mm  T        180.00 RB521S30T1G    
D7         CAPC2012N            7.9251mm        16.1mm      7.9251mm        16.1mm      8.7751mm        16.1mm  T        180.00 RB521S30T1G    
D6         CAPC2012N            27.225mm        14.9mm      27.225mm        14.9mm     26.3751mm        14.9mm  T        360.00 RB521S30T1G    
D5         CAPC2012N           26.2251mm      26.975mm     26.2251mm      26.975mm     25.3751mm      26.975mm  T        360.00 RB521S30T1G    
C17        CAPC2012N            44.075mm      17.875mm      44.075mm      17.875mm      44.075mm      18.725mm  T        270.00 Cap            
C16        CAPC2012N            33.175mm      12.475mm      33.175mm      12.475mm      34.025mm      12.475mm  T        180.00 Cap            
C15        CAPC2012N            27.075mm       8.875mm      27.075mm       8.875mm      27.075mm       9.725mm  T        270.00 Cap            
C14        CAPC2012N           44.7499mm         2.3mm     44.7499mm         2.3mm     44.7499mm        1.45mm  T         90.00 Cap            
C13        Elektrolit_SMD_10      76.675mm         9.7mm      76.675mm         9.7mm      76.675mm         5.7mm  T        270.00 UCD1E681MNL1GS 
C12        CAPC2012N            13.675mm        7.65mm      13.675mm        7.65mm      13.675mm         8.5mm  T        270.00 Cap            
C11        CAPC2012N           14.8751mm          20mm     14.8751mm          20mm     14.0251mm          20mm  T          0.00 Cap            
C10        CAPC2012N           39.2499mm         2.3mm     39.2499mm         2.3mm     39.2499mm        1.45mm  T         90.00 Cap            
C8         CAPC2012N           62.7247mm        16.4mm     62.7247mm        16.4mm     62.7247mm       15.55mm  T         90.00 Cap            
C7         CAPC2012N           29.2751mm          22mm     29.2751mm          22mm     29.2751mm       21.15mm  T         90.00 Cap            
C6         CAPC2012N           27.3751mm     18.5001mm     27.3751mm     18.5001mm     27.3751mm     17.6501mm  T         90.00 Cap            
C5         CAPC2012N           16.8251mm        14.5mm     16.8251mm        14.5mm     17.6751mm        14.5mm  T        180.00 Cap            
C4         CAPC2012N           13.3251mm     18.0001mm     13.3251mm     18.0001mm     12.4751mm     18.0001mm  T        360.00 Cap            
C3         CAPC2012N           16.8251mm     26.0001mm     16.8251mm     26.0001mm     15.9751mm     26.0001mm  T          0.00 Cap            
C2         CAPC2012N           13.3251mm     22.5001mm     13.3251mm     22.5001mm     14.1751mm     22.5001mm  T        180.00 Cap            
U3         SOIC-OA8_N           39.325mm      16.875mm      39.325mm      16.875mm      36.925mm       18.78mm  T        360.00 TC4428ACOA     
U2         SOIC127P600-14N     20.7251mm     20.1501mm     20.7251mm     20.1501mm     18.3251mm       23.96mm  T          0.00 MCP6L04        
U1         D016_N               22.325mm        6.65mm      22.325mm        6.65mm      19.925mm      11.095mm  T          0.00 TL494CD        
T4         TO-252AA_N           58.075mm       7.275mm      58.075mm         8.4mm      55.795mm        4.05mm  T         90.00 IRFR9024N      
T3         TO-252AA_N          67.3747mm       7.275mm     67.3747mm         8.4mm     65.0947mm        4.05mm  T         90.00 IRFR9024N      
T2         TO-252AA_N           58.075mm      21.325mm      58.075mm        20.2mm      60.355mm       24.55mm  T        270.00 IRLR024N       
T1         TO-252AA_N          67.3747mm      21.325mm     67.3747mm        20.2mm     69.6547mm       24.55mm  T        270.00 IRLR024N       
R8         RESC2012N            16.825mm       12.55mm      16.825mm       12.55mm      17.725mm       12.55mm  T        180.00 Res2           
R7         RESC2012N            17.625mm         9.2mm      17.625mm         9.2mm      17.625mm        10.1mm  T        270.00 Res2           
R6         RESC2012N            17.625mm        3.85mm      17.625mm        3.85mm      17.625mm        4.75mm  T        270.00 Res2           
R5         RESC2012N            27.025mm       5.375mm      27.025mm       5.375mm      27.025mm       6.275mm  T        270.00 Res2           
R4         RESC2012N              51.2mm       21.05mm        51.2mm       21.05mm        50.3mm       21.05mm  T          0.00 Res2           
R3         RESC2012N              51.2mm      11.125mm        51.2mm      11.125mm        50.3mm      11.125mm  T          0.00 Res2           
R2         RESC2012N            47.625mm       22.15mm      47.625mm       22.15mm      48.525mm       22.15mm  T        180.00 Res2           
R1         RESC2012N             47.65mm        10.3mm       47.65mm        10.3mm       48.55mm        10.3mm  T        180.00 Res2           
D4         SMB-DO214AA          49.425mm        18.1mm      49.425mm        18.1mm      51.635mm        18.1mm  T        360.00 SK13           
D3         SMB-DO214AA          49.425mm      14.075mm      49.425mm      14.075mm      47.215mm      14.075mm  T        180.00 SK13           
D2         SMB-DO214AA          49.425mm        25.1mm      49.425mm        25.1mm      51.635mm        25.1mm  T        360.00 SK13           
D1         SMB-DO214AA          49.425mm        7.35mm      49.425mm        7.35mm      47.215mm        7.35mm  T        180.00 SK13           
C1         CAPC2012N            15.675mm        3.85mm      15.675mm        3.85mm      15.675mm         4.7mm  T        270.00 Cap            
           D_STAGE_5mm_down     -57.525mm      -62.35mm      41.175mm       10.95mm     -57.525mm      -62.35mm  T        360.00                

