"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R47","RESC2012N","77.3mm","42.6mm","77.3mm","42.6mm","77.3mm","41.7mm","T","90.00","Res2"
"T8","SOT95P240-3N","91.625mm","39.275mm","91.625mm","39.275mm","90.675mm","38.15mm","T","90.00","BC817"
"T7","SOT95P240-3N","50.625mm","34.775mm","50.625mm","34.775mm","49.5mm","35.725mm","T","0.00","BC817"
"R46","RESC2012N","85.025mm","30.45mm","85.025mm","30.45mm","85.025mm","31.35mm","T","270.00","Res2"
"R45","RESC2012N","49.625mm","38.275mm","49.625mm","38.275mm","49.625mm","37.375mm","T","90.00","Res2"
"R44","RESC2012N","46.625mm","39.375mm","46.625mm","39.375mm","47.525mm","39.375mm","T","180.00","Res2"
"R43","RESC2012N","46.625mm","37.475mm","46.625mm","37.475mm","45.725mm","37.475mm","T","360.00","Res2"
"R42","RESC2012N","47.725mm","34.775mm","47.725mm","34.775mm","47.725mm","35.675mm","T","270.00","Res2"
"C27","CAPC2012N","42.4499mm","37.775mm","42.4499mm","37.775mm","43.2999mm","37.775mm","T","180.00","Cap"
"R41","RESC2012N","86.925mm","39.475mm","86.925mm","39.475mm","86.925mm","40.375mm","T","270.00","Res2"
"R40","RESC2012N","87.725mm","35.6249mm","87.725mm","35.6249mm","86.825mm","35.6249mm","T","360.00","Res2"
"D13","CAPC2012N","88.875mm","39.475mm","88.875mm","39.475mm","88.875mm","40.325mm","T","270.00","LED2"
"D12","CAPC2012N","91.225mm","35.5749mm","91.225mm","35.5749mm","92.075mm","35.5749mm","T","180.00","LED2"
"C26","CAPC2012N","84.975mm","41.25mm","84.975mm","41.25mm","84.975mm","42.1mm","T","270.00","Cap"
"C25","CAPC2012N","87.725mm","31.6749mm","87.725mm","31.6749mm","88.575mm","31.6749mm","T","180.00","Cap"
"C24","CAPC2012N","82.975mm","41.25mm","82.975mm","41.25mm","82.975mm","42.1mm","T","270.00","Cap"
"C23","CAPC2012N","87.725mm","33.6749mm","87.725mm","33.6749mm","88.575mm","33.6749mm","T","180.00","Cap"
"U7","TO-252AA_N","81.55mm","35.85mm","80.425mm","35.85mm","84.775mm","33.57mm","T","180.00","MC7805BDTG"
"U6","SOIC127P600-14N","15.05mm","40mm","15.05mm","40mm","17.45mm","36.19mm","T","180.00","MCP6L04"
"U5","SOIC127P600-14N","36.9499mm","37.525mm","36.9499mm","37.525mm","39.3499mm","33.715mm","T","180.00","MCP6L04"
"T6","SOT95P240-3N","11.325mm","10.3mm","11.325mm","10.3mm","10.375mm","9.175mm","T","90.00","BC817"
"R27","RESC2012N","10.25mm","24.3mm","10.25mm","24.3mm","10.25mm","25.2mm","T","270.00","Res2"
"R26","RESC2012N","11.325mm","13.2mm","11.325mm","13.2mm","12.225mm","13.2mm","T","180.00","Res2"
"R25","RESC2012N","10.6mm","17.8mm","10.6mm","17.8mm","10.6mm","16.9mm","T","90.00","Res2"
"R24","RESC2012N","12.175mm","27.8mm","12.175mm","27.8mm","12.175mm","26.9mm","T","90.00","Res2"
"R20","RESC2012N","11.325mm","7.4mm","11.325mm","7.4mm","10.425mm","7.4mm","T","360.00","Res2"
"R12","RESC2012N","16.0251mm","16.3mm","16.0251mm","16.3mm","16.0251mm","17.2mm","T","270.00","Res2"
"R11","RESC2012N","13.3251mm","15.1mm","13.3251mm","15.1mm","14.2251mm","15.1mm","T","180.00","Res2"
"R10","RESC2012N","16.0251mm","22.3mm","16.0251mm","22.3mm","16.0251mm","23.2mm","T","270.00","Res2"
"R9","RESC2012N","14.075mm","24.3mm","14.075mm","24.3mm","14.075mm","25.2mm","T","270.00","Res2"
"D8","CAPC2012N","14.125mm","27.8mm","14.125mm","27.8mm","14.125mm","28.65mm","T","270.00","RB521S30T1G"
"D7","CAPC2012N","16.125mm","27.8mm","16.125mm","27.8mm","16.125mm","28.65mm","T","270.00","RB521S30T1G"
"C5","CAPC2012N","16.8251mm","13.55mm","16.8251mm","13.55mm","17.6751mm","13.55mm","T","180.00","Cap"
"C4","CAPC2012N","13.3251mm","17.05mm","13.3251mm","17.05mm","12.4751mm","17.05mm","T","360.00","Cap"
"C3","CAPC2012N","16.8251mm","25.05mm","16.8251mm","25.05mm","15.9751mm","25.05mm","T","0.00","Cap"
"C2","CAPC2012N","13.3251mm","21.55mm","13.3251mm","21.55mm","14.1751mm","21.55mm","T","180.00","Cap"
"R8","RESC2012N","16.825mm","11.6mm","16.825mm","11.6mm","17.725mm","11.6mm","T","180.00","Res2"
"R35","RESC2012N","19.75mm","43.775mm","19.75mm","43.775mm","19.75mm","44.675mm","T","270.00","Res2"
"R34","RESC2012N","13.525mm","45.575mm","13.525mm","45.575mm","14.425mm","45.575mm","T","180.00","Res2"
"R33","RESC2012N","27.9999mm","42.075mm","27.9999mm","42.075mm","28.9mm","42.075mm","T","180.00","Res2"
"R32","RESC2012N","27.9999mm","40.15mm","27.9999mm","40.15mm","27.1mm","40.15mm","T","360.00","Res2"
"R31","RESC2012N","27.9999mm","38.25mm","27.9999mm","38.25mm","28.9mm","38.25mm","T","180.00","Res2"
"R30","RESC2012N","27.9999mm","36.35mm","27.9999mm","36.35mm","27.0999mm","36.35mm","T","360.00","Res2"
"R29","RESC2012N","19.75mm","36.2249mm","19.75mm","36.2249mm","19.75mm","35.325mm","T","90.00","Res2"
"R28","RESC2012N","13.05mm","34.4mm","13.05mm","34.4mm","13.95mm","34.4mm","T","180.00","Res2"
"C11","CAPC2012N","14.8751mm","19.05mm","14.8751mm","19.05mm","14.0251mm","19.05mm","T","0.00","Cap"
"C1","CAPC2012N","15.675mm","3.85mm","15.675mm","3.85mm","15.675mm","4.7mm","T","270.00","Cap"
"R1","RESC2012N","35.125mm","15.45mm","35.125mm","15.45mm","36.025mm","15.45mm","T","180.00","Res2"
"R2","RESC2012N","29.225mm","3.125mm","29.225mm","3.125mm","29.225mm","2.225mm","T","90.00","Res2"
"R5","RESC2012N","27.025mm","5.375mm","27.025mm","5.375mm","27.025mm","6.275mm","T","270.00","Res2"
"R6","RESC2012N","17.625mm","3.85mm","17.625mm","3.85mm","17.625mm","4.75mm","T","270.00","Res2"
"R7","RESC2012N","17.625mm","8.9mm","17.625mm","8.9mm","17.625mm","9.8mm","T","270.00","Res2"
"T1","TO-252AA_N","72.0999mm","21.325mm","72.0999mm","20.2mm","74.3799mm","24.55mm","T","270.00","IRLR024N"
"T2","TO-252AA_N","54.3998mm","21.325mm","54.3998mm","20.2mm","56.6798mm","24.55mm","T","270.00","IRLR024N"
